Date,result,location,Opp
1991-11-24,L,,Miami Dolphins
1991-11-28,L,@,Detroit Lions
1991-12-08,W,,Green Bay Packers
1991-12-14,W,,Tampa Bay Buccaneers
1991-12-23,L,@,San Francisco 49ers
1992-09-06,W,,Detroit Lions
1992-09-13,L,@,New Orleans Saints
1992-09-21,L,,New York Giants
1992-09-27,W,,Atlanta Falcons
1992-10-04,L,@,Minnesota Vikings
1992-10-18,W,,Tampa Bay Buccaneers
1992-10-25,W,@,Green Bay Packers
1992-11-02,L,,Minnesota Vikings
1992-11-08,L,,Cincinnati Bengals
1992-11-15,L,@,Tampa Bay Buccaneers
1992-11-22,L,,Green Bay Packers
1992-11-29,L,@,Cleveland Browns
1992-12-07,L,@,Houston Oilers
1992-12-13,W,,Pittsburgh Steelers
1992-12-20,L,@,Detroit Lions
1992-12-27,L,@,Dallas Cowboys
1993-09-05,L,,New York Giants
1993-09-12,L,@,Minnesota Vikings
1993-09-26,W,,Tampa Bay Buccaneers
1993-10-03,W,,Atlanta Falcons
1993-10-10,W,@,Philadelphia Eagles
1993-10-25,L,,Minnesota Vikings
1993-10-31,L,@,Green Bay Packers
1993-11-07,L,,Los Angeles Raiders
1993-11-14,W,@,San Diego Chargers
1993-11-21,W,@,Kansas City Chiefs
1993-11-25,W,@,Detroit Lions
1993-12-05,W,,Green Bay Packers
1993-12-12,L,@,Tampa Bay Buccaneers
1993-12-18,L,,Denver Broncos
1993-12-26,L,,Detroit Lions
1993-01-02,L,@,Los Angeles Rams
1994-09-04,W,,Tampa Bay Buccaneers
1994-09-12,L,@,Philadelphia Eagles
1994-09-18,L,,Minnesota Vikings
1994-09-25,W,@,New York Jets
1994-10-02,W,,Buffalo Bills
1994-10-09,W,,New Orleans Saints
1994-10-23,L,@,Detroit Lions
1994-10-31,L,,Green Bay Packers
1994-11-06,W,@,Tampa Bay Buccaneers
1994-11-13,W,@,Miami Dolphins
1994-11-20,W,,Detroit Lions
1994-11-27,W,@,Arizona Cardinals
1994-12-01,L,@,Minnesota Vikings
1994-12-11,L,@,Green Bay Packers
1994-12-18,W,,Los Angeles Rams
1994-12-24,L,,New England Patriots
1995-09-03,W,,Minnesota Vikings
1995-09-11,L,,Green Bay Packers
1995-09-17,W,@,Tampa Bay Buccaneers
1995-09-24,L,@,St. Louis Rams
1995-10-08,W,,Carolina Panthers
1995-10-15,W,@,Jacksonville Jaguars
1995-10-22,W,,Houston Oilers
1995-10-30,W,@,Minnesota Vikings
1995-11-05,L,,Pittsburgh Steelers
1995-11-12,L,@,Green Bay Packers
1995-11-19,L,,Detroit Lions
1995-11-26,W,@,New York Giants
1995-12-04,L,@,Detroit Lions
1995-12-10,L,@,Cincinnati Bengals
1995-12-17,W,,Tampa Bay Buccaneers
1995-12-24,W,,Philadelphia Eagles
1996-09-02,W,,Dallas Cowboys
1996-09-08,L,@,Washington Redskins
1996-09-15,L,,Minnesota Vikings
1996-09-22,L,@,Detroit Lions
1996-09-29,W,,Oakland Raiders
1996-10-06,L,,Green Bay Packers
1996-10-13,L,@,New Orleans Saints
1996-10-28,W,@,Minnesota Vikings
1996-11-03,W,,Tampa Bay Buccaneers
1996-11-10,L,@,Denver Broncos
1996-11-17,L,@,Kansas City Chiefs
1996-11-24,W,,Detroit Lions
1996-12-01,L,@,Green Bay Packers
1996-12-08,W,,St. Louis Rams
1996-12-14,W,,San Diego Chargers
1996-12-22,L,@,Tampa Bay Buccaneers
1997-09-01,L,@,Green Bay Packers
1997-09-07,L,,Minnesota Vikings
1997-09-14,L,,Detroit Lions
1997-09-21,L,@,New England Patriots
1997-09-28,L,@,Dallas Cowboys
1997-10-05,L,,New Orleans Saints
1997-10-12,L,,Green Bay Packers
1997-10-27,W,@,Miami Dolphins
1997-11-02,L,,Washington Redskins
1997-11-09,L,@,Minnesota Vikings
1997-11-16,L,,New York Jets
1997-11-23,W,,Tampa Bay Buccaneers
1997-11-27,L,@,Detroit Lions
1997-12-07,W,,Buffalo Bills
1997-12-14,W,@,St. Louis Rams
1997-12-21,L,@,Tampa Bay Buccaneers
1998-09-06,L,,Jacksonville Jaguars
1998-09-13,L,@,Pittsburgh Steelers
1998-09-20,L,@,Tampa Bay Buccaneers
1998-09-27,L,,Minnesota Vikings
1998-10-04,W,,Detroit Lions
1998-10-11,L,@,Arizona Cardinals
1998-10-18,W,,Dallas Cowboys
1998-10-25,W,@,Tennessee Oilers
1998-11-08,L,,St. Louis Rams
1998-11-15,L,@,Detroit Lions
1998-11-22,L,@,Atlanta Falcons
1998-11-29,L,,Tampa Bay Buccaneers
1998-12-06,L,@,Minnesota Vikings
1998-12-13,L,@,Green Bay Packers
1998-12-20,W,,Baltimore Ravens
1998-12-27,L,,Green Bay Packers
1999-09-12,W,,Kansas City Chiefs
1999-09-19,L,,Seattle Seahawks
1999-09-26,L,@,Oakland Raiders
1999-10-03,W,,New Orleans Saints
1999-10-10,W,@,Minnesota Vikings
1999-10-17,L,,Philadelphia Eagles
1999-10-24,L,@,Tampa Bay Buccaneers
1999-10-31,L,@,Washington Redskins
1999-11-07,W,@,Green Bay Packers
1999-11-14,L,,Minnesota Vikings
1999-11-21,W,@,San Diego Chargers
1999-11-25,L,@,Detroit Lions
1999-12-05,L,,Green Bay Packers
1999-12-19,W,,Detroit Lions
1999-12-26,L,@,St. Louis Rams
1999-01-02,L,,Tampa Bay Buccaneers
2000-09-03,L,@,Minnesota Vikings
2000-09-10,L,@,Tampa Bay Buccaneers
2000-09-17,L,,New York Giants
2000-09-24,L,,Detroit Lions
2000-10-01,W,@,Green Bay Packers
2000-10-08,L,,New Orleans Saints
